Tag Name,Type
"After 5 Days, Did Not Join",
"After 5 Days, Did Not Join - 2x",
"After 5 Days, Did Not Post to Feed",
"After 5 Days, Did Not Publicize",
"After 5 Days, Did Not Publicize - 2x",
"After 5 Days, Did Not Respond to Youve Been Nominated Asks Email",
"After 5 Days, Has Not Nominated Someone",
"After 5 days, has not responded to Civic Heroes Asks Email",
Agreed to be Profiled for Blog,
Agreed to Give Us Contacts,
Agreed to Join CP,
Agreed to Join Listserv,
Agreed to Own Feed and Post,
Agreed to Publicize,
Blog Post Written,
Community Map,
Completed Special To-Do,
Does Not Agree to Publicize,
Does not want to Join CP,
Does not want to Join Listserv,
Does not want to Own a Feed,
Does not wish to Nominate Someone,
Dont Know if Publicized,
Failed to Respond to Supporter Email,
Feed Owner,
Flyer A: I Love Lexington,Flyered
Flyer B: Clip Art,Flyered
Fully Digested,
Gave us Contacts,
Has Joined CP,
Has Nominated Someone,
Has Posted to Feed,
Has Publicized,
Held Call (Script A),
Held Call (Script B),
Interview Scheduled,
Interviewed,
"Is Not Posting to Feed, But Might Later",
Nominator,
Nominee,
Non-Leader List,
Non-Potential Feed Owner,
Not Giving Us Contacts,
Not Going to Respond to Civic Heroes Asks Email,
Not Going to Respond to Youve Been Nominated Asks Email,
Not Potential Feed Owner,
Not-Yet Received Civic Heroes Information,
Not-Yet Supporter,
On Listserv,
Potential Feed Owner,
Ready for Leaderbox (S1.8A),Email Sent
Ready for Leaderbox (S1.8B),Email Sent
Receive Potential Supporter Nomination Thanks Email B,Email Sent
Received Supporter Not Willing to be Profiled Email,Email Sent
"Received Thanks Anyway, But Check Out CommonPlace Email",Email Sent
Received Youve Been Nominated Asks Email (1.3A),Email Sent
Received Youve Been Nominated Asks Email (1.3B),Email Sent
Received Youve Been Nominated Asks Reminder Email (CH1.7A),Email Sent
Received Youve Been Nominated Asks Reminder Email (CH1.7B),Email Sent
Received Civic Heroes Asks Email (CH1.2A),Email Sent
Received Civic Heroes Asks Email (CH1.2B),Email Sent
Received Civic Heroes Asks Reminder Email (CH1.6A),Email Sent
Received Civic Heroes Asks Reminder Email (CH1.6B),Email Sent
Received Civic Heroes Information,Email Sent
Received Leader Non-Response Nomination Drive Email (CH1.1xA),Email Sent
Received Leader Non-Response Nomination Drive Email (CH1.1xB),Email Sent
Received Leaderbox,Email Sent
Received Nomination Information (CH1.1Civic),Email Sent
Received Nomination Information (CH1.1Cultural),Email Sent
Received Nomination Information (CH1.1GeneralA),Email Sent
Received Nomination Information (CH1.1GeneralB),Email Sent
Received Nomination Information (CH1.1Government),Email Sent
Received Nomination Information (CH1.1PTA),Email Sent
Received Nomination Information (CH1.1Religion),Email Sent
Received Nomination Information (CH1.1Schools),Email Sent
Received Nomination Information (CH1.1TownMeeting),Email Sent
Received Nomination Reminder Email (CH1.5A),Email Sent
Received Nomination Reminder Email (CH1.5B),Email Sent
Received Post-Asks Feed Email (S1.5FA),Email Sent
Received Post-Asks Feed Email (S1.5FB),Email Sent
Received Post-Asks Join Email (S1.5JA),Email Sent
Received Post-Asks Join Email (S1.5JB),Email Sent
Received Post-Asks Publicize Email (S1.5PA),Email Sent
Received Post-Asks Publicize Email (S1.5PB),Email Sent
Received Post-Asks Feed Email (S1.5FA),Email Sent
Received Post-Asks Feed Email (S1.5FB),Email Sent
Received Potential Supporter Intro Email,Email Sent
Received Potential Supporter Launch Email (S1.1A),Email Sent
Received Potential Supporter Launch Email (S1.1B),Email Sent
Received Potential Supporter Nomination Thanks Email,Email Sent
Received Potential Supporter Nomination Thanks Email (CH2.1A),Email Sent
Received Potential Supporter Nomination Thanks Email (CH2.1B),Email Sent
Received Potential Supporter Nomination Thanks Email A,Email Sent
Received Potential Supporter Referral Email (S1.2A),Email Sent
Received Potential Supporter Referral Email (S1.2B),Email Sent
Received Reminder to Join Email - 2x,Email Sent
Received Reminder to Join Email (S1.6JA),Email Sent
Received Reminder to Join Email (S1.6JA),Email Sent
Received Reminder to Join Email (S1.6JB),Email Sent
Received Reminder to Join Email (S1.6JB),Email Sent
Received Reminder to Post Email (S1.6FA),Email Sent
Received Reminder to Post Email (S1.6FB),Email Sent
Received Reminder to Publicize Email (S1.6PA),Email Sent
Received Response to Youve Been Nominated Asks Email,Email Sent
Received Response to Youve Been Nominated Asks Email,Email Sent
Received Response to Supporter Asks Email,Email Sent
Received Supporter Asks Email,Email Sent
Referred Contact,
Responded Negatively to Supporter Email,Email Recieved
Scheduled Supporter Asks Phone Call (S1.4A),Email Sent
Scheduled Supporter Asks Phone Call (S1.4B),Email Sent
Special To-Do,
Successful Blog Post Published,
Supporter,
Thanked for Joining,Email Sent
Thanked for Nomination,Email Sent
Thanked for Posting,Email Sent
Timed Out of Nominating Someone,
Uninterested,
Uninterested - But Might Be Later,
"Unwilling to be Profiled, but Positive",
"Unwilling to be Profiled, Negative",
Wants Supporter Asks Email,
Wants Supporter Asks Phone Call,
